N,Torch (eager),Torch (compiled),Triton
2.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
8.0,0.0,0.1,0.1
16.0,0.2,0.5,0.5
32.0,0.6,1.6,1.6
64.0,2.5,6.4,6.4
128.0,9.8,18.3,25.6
256.0,33.0,51.2,89.0
512.0,107.8,103.0,257.5
1024.0,239.6,193.5,583.8
2048.0,331.0,409.6,762.0
4096.0,236.2,518.1,873.8
8192.0,243.5,554.2,1108.4
16384.0,249.3,635.5,1230.7
