D,Torch (eager),Torch (compiled),Triton
1.0,0.3,0.5,0.5
2.0,0.4,1.0,0.8
4.0,0.7,2.0,1.6
8.0,0.9,3.2,2.7
16.0,1.2,5.1,6.4
32.0,1.3,5.8,9.4
64.0,1.7,7.5,14.2
128.0,1.8,8.5,18.3
256.0,1.2,9.3,21.3
512.0,1.1,9.8,20.8
1024.0,1.2,10.1,20.3
2048.0,1.2,10.3,21.0
4096.0,1.2,10.3,21.6
8192.0,1.2,10.4,21.9
16384.0,1.0,10.4,21.5
