N,Torch (eager),Torch (compiled),Triton
4.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
32.0,0.0,0.1,0.1
64.0,0.1,0.1,0.1
128.0,0.1,0.2,0.3
256.0,0.2,0.2,0.5
512.0,0.4,0.3,0.9
1024.0,0.8,0.4,1.4
2048.0,1.7,0.4,2.3
4096.0,3.6,0.4,3.2
8192.0,6.4,0.4,3.8
16384.0,12.1,0.5,4.3
